Account number,Organization,Country,Region,Public,Samples,Primary activity,Primary sector,Primary industry,Primary questionnaire sector,Tickers,Authority types,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
44,3i Group,United Kingdom of Great Britain and Northern Ireland,,public," Benchmark, Continuity Climate Change, Euro, FTSE 350, FTSE 725, MSCI ACWI",Asset managers,Financial services,Services,General, III LN, Investor,III.L,2019,10628517836,,207000000,325000000,295000000,214000000,GBP,771000000,0,7403000000,8567000000,810000000,7403000000,595000000,7757000000
53,Abertis Infraestructuras,Spain,,public," Benchmark, CCGR1800, Continuity Climate Change",Infrastructure upkeep & management,Land & property ownership & development,Infrastructure,General, ABE SM, Investor,ABE.MC,2019,,,,,,,GBP,,,,,,,,
58,ABM INDUSTRIES INC,United States of America,CDP NA,public,,Commercial services,Commercial & consumer services,Services,General, ABM US, Supply Chain,ABM,2019,2522799000,140000,281000000,6498600000,731100000,127400000,USD,58500000,0,14000000,3692600000,2150600000,14000000,801400000,1542000000
63,AR Packaging Group,Germany,,public,,Paper products,Paper products & packaging,Manufacturing,Paper & forestry, 0849302D SS, Supply Chain,0849302D.ST,2019,,,,,,,USD,,,,,,,,
64,Abbott Laboratories,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Health care facilities,Health care provision,"Biotech, health care & pharma",General, ABT US," Investor, Supply Chain",ABT,2019,153641905016,107000,6659000000,31904000000,18673000000,3687000000,USD,3860000000,280000000,883000000,67887000000,36586000000,1163000000,18894000000,31301000000
87,A2A,Italy,,public," CCGR1800, Continuity Climate Change, Environmental, Italy",CCGT generation,Thermal power generation,Power generation,Electric utilities, A2A IM, Investor,A2A.MI,2019,5198555407,,1181000000,7122000000,1966000000,389000000,EUR,434000000,10000000,55000000,10725000000,7074000000,65000000,3611000000,3651000000
97,Aareal Bank AG,Germany,,public," Continuity Climate Change, DACH",Banks,Financial services,Services,General, ARL GR, Investor,ARL.DE,2019,1810680935,,292000000,889000000,889000000,161000000,EUR,1494000000,0,10058000000,41137000000,38276000000,10058000000,25578000000,2861000000
119,Resolute Forest Products Inc.,Canada,,public," CCGR1800, Continuity Climate Change, Environmental",Pulp & paper mills,Wood & paper materials,Materials,Paper & forestry, RFP US, Investor,RFP,2019,,6700,225000000,2923000000,725000000,-47000000,USD,3000000,0,0,3626000000,2391000000,0,514000000,1235000000
123,ACI WORLDWIDE  LTD,United Kingdom of Great Britain and Northern Ireland,CDP London,public,,Software,IT & software development,Services,General, ACIW US, Supply Chain,ACIW,2019,4394887310,4018,274746000,1258294000,640841000,67062000,USD,121398000,0,213041000,3257534000,2127566000,213041000,1419921000,1129968000
134,Aboitiz Equity Ventures,Philippines,,public," Benchmark, Continuity Climate Change, Emerging Markets, MSCI ACWI",Non-CCGT generation,Thermal power generation,Power generation,Electric utilities, AEV PM, Investor,AEV,2019,,,,,,,USD,,,,,,,,
135,ABN Amro Holding,Netherlands,,public," Benchmark, Benelux, Continuity Climate Change, Euro, FTSE All-World, Global 500, MSCI ACWI",Banks,Financial services,Services,General, ABN NA, Investor,ABN.AS,2019,14237555559,,3181000000,8419000000,8419000000,2046000000,EUR,28862000000,0,57488000000,375054000000,85579000000,57488000000,85579000000,21471000000
138,Absa Group Limited,South Africa,,public," Benchmark, CCGR1800, Continuity Climate Change, Emerging Markets, MSCI ACWI, South Africa",Banks,Financial services,Services,General, ABG SJ, Investor,ABG.JO,2019,123789179768,,25034000000,80062000000,80062000000,14256000000,ZAR,52532000000,0,300143000000,1399175000000,1270492000000,300143000000,185147000000,128683000000
143,ACC,India,,public," Benchmark, CCGR1800, Continuity Climate Change, Emerging Markets, India",Cement,Cement & concrete,Materials,Cement, ACC IN, Investor,ACC.BO,2019,271291100872,,27178000000,153431100000,115626900000,13774100000,INR,44925300000,3807900000,1960000000,171359800000,55890500000,5767900000,0,115437700000
