Account number,Organization,Country,Region,Public,Samples,Primary activity,Primary sector,Primary industry,Primary questionnaire sector,Tickers,Authority types,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
169,ACERINOX,Spain,,public," Environmental, Mining & Metals, Spain",Iron & steel,"Metal smelting, refining & forming",Materials,Steel, ACX SM," Investor, Supply Chain",ACX.MC,2018,2356282703,,498652000,5010777000,1500505000,237086000,EUR,850113000,7747000,5265000,4607590000,2488291000,13012000,1402181000,2119299000
173,ADP (Aeroports de Paris),France,,public," Benchmark, Euro, France, FTSE All-World",Transportation support services,Industrial support services,Services,General, ADP FP, Investor,ADP.PA,2018,16378067015,,1675000000,4007000000,2800000000,610000000,EUR,2056000000,93000000,1256000000,16067000000,10266000000,1349000000,7031000000,5801000000
220,Adecco Group AG,Switzerland,,public," Benchmark, DACH, Euro",Commercial services,Commercial & consumer services,Services,General, ADEN SW," Investor, Supply Chain",ADEN.SW,2018,7565808226,,903000000,23867000000,4433000000,458000000,EUR,652000000,0,0,9718000000,6129000000,76000000,1776000000,3589000000
240,ADVA Optical Networking SE,Germany,,public, Self selected companies climate change,Communications equipment,Electrical & electronic equipment,Manufacturing,General, ADV GR," Investor, Supply Chain",ADV.DE,2018,310989158,,13744000,501981000,181728000,9678000,EUR,62308000,1071000,-63000,486538000,241897000,3105000,89484000,244641000
246,Advantest Corporation,Japan,,public," Benchmark, Japan",Electronic components,Electrical & electronic equipment,Manufacturing,General, 6857 JP, Investor,6857.T,2018,108722366049,,71255000000,282456000000,154039000000,56993000000,JPY,119943000000,0,2861000000,304580000000,105849000000,2861000000,0,198731000000
252,Aegon,Netherlands,,public," Benchmark, Benelux, Euro",Insurance,Financial services,Services,General, AGN NA, Investor,AGN.AS,2018,8381695853,,2572000000,14551000000,14551000000,710000000,EUR,8742000000,86253000000,138003000000,392633000000,370066000000,339901000000,13665000000,22567000000
257,Dentsu International,United Kingdom of Great Britain and Northern Ireland,,public, Self selected companies climate change,Marketing,Web & marketing services,Services,General, AGS LN," Investor, Supply Chain",AGS.L,2018,,,,,,,EUR,,,,,,,,
258,"Aeon Co., Ltd.",Japan,,public," Agriculture, Benchmark, CCGR1800, Environmental, Japan","Supermarkets, food & drugstores",Convenience retail,Retail,General, 8267 JP, Investor,8267.T,2018,1809169665000,,493036000000,8518215000000,3090482000000,23637000000,JPY,852382000000,428657000000,839594000000,10049680000000,8174319000000,231120000000,2597463000000,1875361000000
276,A.P. Moller - Maersk,Denmark,,public,,Marine freight,Marine transport,Transportation services,Transport services, MAERSKB DC," Investor, Supply Chain",MAERSKB.CO,2018,,,,,,,JPY,,,,,,,,
282,ABB,Switzerland,,public," Benchmark, CCGR1800, DACH, Euro, FTSE All-World, Global 500, Nordic",Electrical equipment,Electrical & electronic equipment,Manufacturing,General, ABBN SW," Investor, Supply Chain",ABBN.SW,2018,39868400000,,3297000000,27662000000,8544000000,2173000000,USD,3445000000,712000000,87000000,44441000000,29907000000,799000000,8618000000,14534000000
285,3M Company,United States of America,,public," Benchmark, CCGR1000, CCGR1800, Environmental, FTSE All-World, Global 500, Plastics & Glass & Packaging, S&P 500",Specialty chemicals,Chemicals,Materials,Chemicals, MMM US," Investor, Supply Chain",MMM,2018,92001525000,93516,8695000000,32765000000,16083000000,5349000000,USD,2853000000,380000000,188000000,36500000000,26652000000,568000000,14622000000,9900000000
291,Abercrombie & Fitch Co.,United States of America,,public, Self selected companies climate change,Apparel stores,Discretionary retail,Retail,General, ANF US, Investor,ANF,2018,1324783700,14000,150526000,3590109000,2159916000,74541000,USD,723135000,0,0,2385593000,1166972000,0,296776000,1218621000
304,The AES Corporation,United States of America,,public," Benchmark, CCGR1000, CCGR1800, Electric Utilities, Environmental, S&P 500",Electricity networks,Energy utility networks,Infrastructure,Electric utilities, AES US," Investor, Supply Chain",AES,2018,9644820000,0,3489000000,10189000000,2349000000,649000000,USD,1029000000,400000000,966000000,33648000000,28419000000,1366000000,20173000000,5229000000
313,ACEA SpA,Italy,,public," Electric Utilities, Environmental, Italy",CCGT generation,Thermal power generation,Power generation,Electric utilities, ACE IM, Investor,ACE.MI,2018,2552677183,,834446000,2853172000,934236000,270999000,EUR,1068138000,0,0,8157063000,6253572000,337530000,3725950000,1903491000
333,Adobe,United States of America,,public," Benchmark, CCGR1000, CCGR1800, FTSE All-World, Global 500, S&P 500",Software,IT & software development,Services,General, ADBE US," Investor, Supply Chain",ADBE,2018,110417789440,21357,3229610000,9030008000,7835009000,2590774000,USD,1642775000,1586187000,-46702000,18768682000,9406568000,1586187000,4124800000,9362114000
336,"ASE Technology Holding Co., Ltd.","Taiwan, Greater China",,public," Asia ex-JICK, Benchmark, CCGR1800, Emerging Markets",Industrial services,Industrial support services,Services,General, 2311 TT," Investor, Supply Chain",2311.TW,2018,,,,,,,USD,,,,,,,,
350,Agnico-Eagle Mines Limited,Canada,,public," Benchmark, Canada, CCGR1800, Environmental, Mining & Metals",Precious metals & minerals mining,Metallic mineral mining,Materials,Metals & mining, AEM CN, Investor,AEM.TO,2018,12867536225,,789197000,2191221000,476933000,-326701000,USD,301826000,82612000,0,7852843000,3302831000,82612000,1723222000,4550012000
351,AGL Energy,Australia,,public," Australia, Benchmark, CCGR1800, Electric Utilities, Environmental",CCGT generation,Thermal power generation,Power generation,Electric utilities, AGL AU, Investor,AGL.AX,2018,13515837098,,2174000000,12816000000,3740000000,1587000000,AUD,463000000,200000000,165000000,14633000000,6332000000,165000000,2963000000,8301000000
356,Aetna Inc.,United States of America,,public," Benchmark, CCGR1800, FTSE All-World, Global 500, S&P 500",Health care services,Other services,Services,General, AET US, Investor,AET,2018,,,,,,,AUD,,,,,,,,
362,AFLAC Incorporated,United States of America,,public," Benchmark, FTSE All-World, Global 500, S&P 500",Insurance,Financial services,Services,General, AFL US, Investor,AFL,2018,34234831880,6121,4205000000,21758000000,21758000000,2920000000,USD,4337000000,82895000000,114200000000,140406000000,116944000000,126243000000,5778000000,23462000000
365,Affiliated Managers Group,United States of America,,public," Benchmark, S&P 500",Asset managers,Financial services,Services,General, AMG US, Investor,AMG,2018,5055801461,4450,903600000,2378400000,1391200000,243600000,USD,565500000,119300000,3205400000,8219100000,3250500000,3111400000,1829600000,4968600000
372,African Rainbow Minerals,South Africa,,public," Benchmark, CCGR1800, Environmental, Mining & Metals, South Africa",Iron ore mining,Metallic mineral mining,Materials,Metals & mining, ARI SJ, Investor,ARI.JO,2018,27135041700,,6514000000,8834000000,1385000000,3554000000,ZAR,3397000000,1397000000,19790000000,37216000000,7513000000,21187000000,2031000000,29703000000
391,Agilent Technologies Inc.,United States of America,,public," Benchmark, CCGR1000, CCGR1800, FTSE All-World, S&P 500",Medical equipment,Medical equipment & supplies,"Biotech, health care & pharma",General, A US," Investor, Supply Chain",A,2018,21452279999,14800,1231000000,4914000000,2687000000,316000000,USD,2247000000,0,68000000,8541000000,3970000000,68000000,1799000000,4571000000
394,Ajinomoto Co.Inc.,Japan,,public," Benchmark, CCGR1000, CCGR1800, Chemicals, Environmental, Japan",Other food processing,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco", 2802 JP," Investor, Supply Chain",2802.T,2018,1072625829000,,113748000000,1127483000000,395579000000,29698000000,JPY,153725000000,16526000000,206235000000,1393869000000,707909000000,181712000000,330714000000,685960000000
399,Aisin Corporation,Japan,,public," Benchmark, CCGR1800, FTSE All-World, Japan",Fabricated metal components,Metal products manufacturing,Manufacturing,General, 7259 JP," Investor, Supply Chain",7259.T,2018,1029447980000,,455239000000,4043110000000,497832000000,110123000000,JPY,357195000000,137433000000,420403000000,3751880000000,1878253000000,557836000000,610341000000,1873627000000
403,AIXTRON SE,Germany,,public, DACH,Electronic components,Electrical & electronic equipment,Manufacturing,General, AIXA GR, Investor,AIXA.DE,2018,911209323,,52123000,268811000,117621000,45862000,EUR,236207000,27500000,0,538861000,109217000,27500000,0,429644000
427,Air Canada,Canada,,public," Canada, CCGR1800, Environmental, Transportation",Passenger airlines,Air transport,Transportation services,Transport services, AC CN," Investor, Supply Chain",AC.TO,2018,7035159729,,2316000000,18065000000,3781000000,167000000,CAD,630000000,4077000000,444000000,19197000000,15164000000,4521000000,6652000000,4033000000
429,Air France - KLM,France,,public," CCGR1800, Environmental, France, Transportation",Passenger airlines,Air transport,Transportation services,Transport services, AF FP," Investor, Supply Chain",AF.PA,2018,20130526335,,3938000000,26515000000,8922000000,409000000,EUR,3585000000,46000000,1177000000,29057000000,27192000000,1225000000,11099000000,1865000000
432,Air Liquide,France,,public," Benchmark, CCGR1800, Chemicals, Environmental, Euro, France, FTSE All-World, Global 500",Inorganic base chemicals,Chemicals,Materials,Chemicals, AI FP," Investor, Supply Chain",AI.PA,2018,46769778822,,4961100000,21011100000,12734700000,2113400000,EUR,1725600000,3200000,283000000,41980600000,23773200000,286200000,14260500000,18207400000
435,"Air Products & Chemicals, Inc.",United States of America,,public," Benchmark, CCGR1000, CCGR1800, Chemicals, Environmental, FTSE All-World, Global 500, S&P 500",Inorganic base chemicals,Chemicals,Materials,Chemicals, APD US," Investor, Supply Chain",APD,2018,35243010000,16300,3116200000,8930200000,2740700000,1497800000,USD,2791300000,184700000,1277200000,19178300000,8002000000,1461900000,3812600000,11176300000
449,AKBANK T.A.Ş.,Turkey,,public," Benchmark, Emerging Markets, Turkey",Banks,Financial services,Services,General, AKBNK TI, Investor,AKBNK.IS,2018,30628000000,,27418131000,19698373000,19698373000,5709166000,TRY,49617879000,0,79345345000,354681610000,310894569000,79345345000,61505807000,43787041000
453,AK Steel Holding Corporation,United States of America,,public," CCGR1800, Environmental, Mining & Metals",Iron & steel,"Metal smelting, refining & forming",Materials,Steel, AKS US," Investor, Supply Chain",AKS,2018,,,583600000,6818200000,909600000,186000000,USD,48600000,0,80500000,4515700000,4415800000,80500000,1993700000,99900000
454,Akamai Technologies Inc,United States of America,,public," Benchmark, S&P 500",Software,IT & software development,Services,General, AKAM US," Investor, Supply Chain",AKAM,2018,9970454818,3660,874364000,2714474000,1760989000,298373000,USD,1036455000,855650000,209066000,5461770000,2269910000,1064716000,1560632000,3191860000
457,Aker ASA,Norway,,public, Nordic,Transportation infrastructure & other construction,Construction,Infrastructure,General, AKER NO, Investor,AKER.OL,2018,34312181904,,5589000000,40982000000,23115000000,906000000,NOK,9786000000,-11437000000,36774000000,92758000000,50841000000,25337000000,30427000000,41917000000
458,Aktia Bank Plc,Finland,,public, Nordic,Banks,Financial services,Services,General, AKTIA FH, Investor,AKTIA.HE,2018,619200000,,78755000,207955000,207955000,56005000,EUR,289432000,0,2187585000,9266069000,8676128000,2187585000,2668151000,589941000
462,AkzoNobel,Netherlands,,public," Benchmark, Benelux, CCGR1800, Chemicals, Environmental, Euro, FTSE All-World",Specialty chemicals,Chemicals,Materials,Chemicals, AKZA NA," Investor, Supply Chain",AKZA.AS,2018,18036482191,,907000000,9256000000,3927000000,6674000000,EUR,2788000000,5460000000,-4184000000,18784000000,6746000000,1276000000,2398000000,12038000000
511,Alcoa Corp.,United States of America,,public," Benchmark, CCGR1000, CCGR1800, Environmental, Mining & Metals",Aluminium refining,"Metal smelting, refining & forming",Materials,Metals & mining, AA US," Investor, Supply Chain",AA,2018,4917303083,14000,2979000000,13517000000,2694000000,227000000,USD,1113000000,0,1360000000,15946000000,8553000000,1360000000,1802000000,7393000000
524,Algonquin Power & Utilities Corporation,Canada,,public," Canada, Electric Utilities, Environmental",Electricity networks,Energy utility networks,Infrastructure,Electric utilities, AQN CN, Investor,AQN.TO,2018,6735090076,,704964000,1647387000,1163249000,184988000,USD,46819000,0,948901000,9388968000,5350460000,948901000,3336795000,4038508000
533,Allergan plc,United States of America,,public," Benchmark, CCGR1000, CCGR1800, FTSE All-World, Global 500, S&P 500",Pharmaceuticals,Biotech & pharma,"Biotech, health care & pharma",General, AGN US," Investor, Supply Chain",AGN,2018,,,792700000,15787400000,13596000000,-5096400000,USD,880400000,1026900000,212100000,101787600000,36673500000,1239000000,23797700000,65114100000
550,ANA Holdings Inc.,Japan,,public," Benchmark, CCGR1800, Environmental, FTSE All-World, Japan, Transportation",Passenger airlines,Air transport,Transportation services,Transport services, 9202 JP," Investor, Supply Chain",9202.T,2018,1318784712000,,336452000000,2058312000000,498436000000,110777000000,JPY,68301000000,251851000000,194110000000,2687122000000,1577809000000,159184000000,788649000000,1109313000000
569,Alma Media Corporation,Finland,,public, Self selected companies climate change,Print publishing,Print & publishing services,Services,General, ALMA FH, Investor,ALMA.HE,2018,451172060,,71300000,354600000,289800000,41700000,EUR,49500000,-300000,8000000,345600000,158800000,7700000,51500000,186800000
573,Alpha Bank,Greece,,public," Benchmark, Emerging Markets",Banks,Financial services,Services,General, ALPHA GA, Investor,ALPHA.AT,2018,1698069319,,-139888000,2599042000,2599042000,52957000,EUR,3490097000,0,7761322000,61006740000,52863624000,7761322000,1461355000,8143116000
578,Alliance One International Inc.,United States of America,,public,,Tobacco products,Tobacco,"Food, beverage & agriculture","Food, beverage & tobacco"," AOI US, PYX US", Supply Chain,AOI,2018,,,,,,,EUR,,,,,,,,
582,The Allstate Corporation,United States of America,,public," Benchmark, FTSE All-World, Global 500, S&P 500",Insurance,Financial services,Services,General, ALL US, Investor,ALL,2018,27482738000,45140,3587000000,39815000000,33946000000,2160000000,USD,499000000,3027000000,72738000000,112249000000,90937000000,81260000000,6451000000,21312000000
593,Allianz SE,Germany,,public," Benchmark, DACH, Euro, FTSE All-World, Global 500",Insurance,Financial services,Services,General, ALV GR, Investor,ALV.DE,2018,74440492893,,12779000000,102979000000,102979000000,7462000000,EUR,17233000000,520612000000,543322000000,897567000000,833888000000,1063934000000,32723000000,63679000000
600,AIB Group Plc,Ireland,,public," Euro, FTSE All-World, Ireland",Banks,Financial services,Services,General, AIBG ID, Investor,AIBG.L,2018,8637220800,,1675000000,2874000000,2874000000,1092000000,EUR,6713000000,0,17851000000,91536000000,77678000000,17851000000,6785000000,13858000000
609,Alumina Limited,Australia,,public," Australia, Benchmark",Aluminium refining,"Metal smelting, refining & forming",Materials,Metals & mining, AWC AU, Investor,AWC.AX,2018,6620861445,,-15267940,2142868,2142868,850986669,USD,261079545,0,2926420454,3189062500,155255681,2926420454,125000000,3033806818
622,Alstom,France,,public," Benchmark, CCGR1800, Environmental, France, Transportation",Railroad rolling stock,Transportation equipment,Manufacturing,Transport OEMS, ALO FP," Investor, Supply Chain",ALO.PA,2018,7918678332,,693000000,8072000000,1431000000,433000000,EUR,3432000000,10000000,775000000,13410000000,9251000000,775000000,1318000000,4159000000
625,alstria office REIT-AG,Germany,,public,,REIT,Financial services,Services,General, AOX GR, Investor,AOX.DE,2018,2106272176,,556097000,232353000,169068000,527414000,EUR,132899000,0,0,4181252000,1497165000,45326000,1350261000,2684087000
628,"Altria Group, Inc.",United States of America,,public," Agriculture, Benchmark, CCGR1800, Environmental, FTSE All-World, Global 500, S&P 500",Tobacco products,Tobacco,"Food, beverage & agriculture","Food, beverage & tobacco", MO US, Investor,MO,2018,92556860000,8300,10460000000,19627000000,12254000000,6963000000,USD,1333000000,0,30496000000,55638000000,40849000000,30496000000,25746000000,14788000000
629,AltaGas Ltd.,Canada,,public," Benchmark, Canada, CCGR1800, Environmental, Fossil Fuels",Gas utilities,Energy utility networks,Infrastructure,Oil & gas, ALA CN, Investor,ALA.TO,2018,3786360000,,2300000,4256700000,1801400000,-435100000,CAD,101600000,114100000,2400800000,23487700000,15847500000,2400800000,10167000000,7640200000
631,ALPLA,Austria,,public,,Plastic products,Plastic product manufacturing,Manufacturing,General, 1154Z AV, Supply Chain,1154Z,2018,,,,,,,CAD,,,,,,,,
638,Alten,France,,public, France,Other professional services,Specialized professional services,Services,General, ATE FP," Investor, Supply Chain",ATE.PA,2018,2469035509,,233295000,2269885000,475732000,157869000,EUR,120372000,2097000,38689000,1661581000,689147000,40786000,107916000,972433999
641,Amer Sports,Finland,,public, Nordic,Sporting goods,Leisure & home manufacturing,Manufacturing,General, AMEAS FH," Investor, Supply Chain",AMEAS.HE,2018,,,,,,,EUR,,,,,,,,
660,American Airlines Group Inc,United States of America,,public," Benchmark, CCGR1000, CCGR1800, Environmental, FTSE All-World, S&P 500, Transportation",Passenger airlines,Air transport,Transportation services,Transport services, AAL US," Investor, Supply Chain",AAL,2018,14512146610,0,2940000000,44541000000,10051000000,1412000000,USD,275000000,4485000000,189000000,60792000000,60961000000,4485000000,34287000000,-169000000
661,Ameren Corporation,United States of America,,public," Benchmark, CCGR1000, CCGR1800, Electric Utilities, Environmental, FTSE All-World, S&P 500",Electricity networks,Energy utility networks,Infrastructure,Electric utilities, AEE US," Investor, Supply Chain",AEE,2018,15974827000,0,2492000000,6291000000,2795000000,815000000,USD,16000000,0,684000000,27215000000,19442000000,684000000,9036000000,7773000000
668,Ambuja Cements,India,,public," Benchmark, CCGR1800, Emerging Markets, India",Cement,Cement & concrete,Materials,Cement, ACEM IN, Investor,ACEM.BO,2018,,,,,,,USD,,,,,,,,
674,Amcor plc,Australia,,public," Australia, Benchmark, CCGR1000, CCGR1800, Environmental",Metal containers & packaging,Metal products manufacturing,Manufacturing,General," AMCR UN, AMCR US"," Investor, Supply Chain",AMCR,2018,10733130000,,1025407250,9262259090,1845474636,719584035,USD,617013493,0,435825413,8991520566,7907671961,435825413,4465595400,1083848605
689,"American Electric Power Company, Inc.",United States of America,,public," Benchmark, CCGR1000, CCGR1800, Electric Utilities, Environmental, FTSE All-World, Global 500, S&P 500",,,,Electric utilities, AEP US," Investor, Supply Chain",AEP,2018,36869920340,17582,5289800000,16195700000,9161800000,1923800000,USD,234100000,159100000,3395500000,68802800000,49743400000,3554600000,25256700000,19059400000
692,American Express,United States of America,,public," Benchmark, CCGR1000, CCGR1800, FTSE All-World, Global 500, S&P 500",Banks,Financial services,Services,General, AXP US," Investor, Supply Chain",AXP,2018,80164120000,59000,12358000000,40338000000,26296000000,6921000000,USD,27000000000,2262000000,5000000000,189000000000,167000000000,7952000000,61000000000,22000000000
699,"American International Group, Inc. (AIG)",United States of America,,public," Benchmark, CCGR1000, CCGR1800, FTSE All-World, Global 500, S&P 500",Insurance,Financial services,Services,General, AIG US," Investor, Supply Chain",AIG,2018,34498847340,49600,6819000000,47481000000,47481000000,-6000000,USD,2873000000,239065000000,251733000000,491984000000,434675000000,314209000000,34540000000,57309000000
702,American Packaging,United States of America,,public,,Metal containers & packaging,Metal products manufacturing,Manufacturing,General,, Supply Chain,unknown,2018,,,,,,,,,,,,,,,
707,"Ameriprise Financial, Inc.",United States of America,,public," Benchmark, FTSE All-World, S&P 500",Asset managers,Financial services,Services,General, AMP US, Investor,AMP,2018,14486556000,14000,3016000000,12835000000,6342000000,2098000000,USD,3097000000,31058000000,31058000000,137216000000,131628000000,37531000000,4811000000,5588000000
710,AmerisourceBergen Corp.,United States of America,,public," Benchmark, CCGR1000, CCGR1800, FTSE All-World, S&P 500","Dealers, wholesalers & distributors","Trading, wholesale, distribution, rental & leasing",Retail,General, ABC US," Investor, Supply Chain",ABC,2018,15693489600,21000,2084219000,167939635000,4612317000,1658405000,USD,2492516000,0,-1829410000,37669838000,34619877000,0,4158532000,3167098000
716,"Amgen, Inc.",United States of America,,public," Benchmark, FTSE All-World, Global 500, S&P 500",Biotechnology,Biotech & pharma,"Biotech, health care & pharma",General, AMGN US, Investor,AMGN,2018,121084739999,0,10937000000,23747000000,19646000000,8394000000,USD,6945000000,22359000000,683000000,66416000000,53916000000,22359000000,33929000000,12500000000
719,AMKOR TECHNOLOGY INC,United States of America,CDP NA,public, Self selected companies climate change,Semiconductors,Electrical & electronic equipment,Manufacturing,General, AMKR US, Supply Chain,AMKR,2018,1500862400,600,836722000,4316466000,710565000,127092000,USD,681569000,0,3893000,4495447000,2639547000,3893000,1332311000,1855900000
722,AmorePacific Corporation,Republic of Korea,,public," Benchmark, Emerging Markets, FTSE All-World, Korea",Personal care & household products,Chemicals,Materials,General, 090430 KS, Investor,090430.KS,2018,14460959151000,,738278295800,5277844561810,3842968930950,332195459030,KRW,735510637940,45104000000,9336982040,5371137217820,924720135380,54440982040,116140283140,4446417081210
724,AMP,Australia,,public," Australia, Benchmark",Insurance,Financial services,Services,General, AMP AU, Investor,AMP.AX,2018,7151550000,,181000000,8286000000,8286000000,28000000,AUD,3932000000,0,41919000000,145368000000,138577000000,41919000000,21650000000,6791000000
745,Anadarko Petroleum Corporation,United States of America,,public," Benchmark, CCGR1800, Environmental, Fossil Fuels, FTSE All-World, Global 500, S&P 500",Oil & gas extraction,Oil & gas extraction & production,Fossil Fuels,Oil & gas, APC US, Investor,APC,2018,,,6549000000,13382000000,12335000000,615000000,USD,1295000000,0,0,40376000000,31880000000,0,16417000000,8496000000
746,"Analog Devices, Inc.",United States of America,,public," Benchmark, CCGR1000, CCGR1800, FTSE All-World, Global 500, S&P 500",Electronic components,Electrical & electronic equipment,Manufacturing,General, ADI US," Investor, Supply Chain",ADI,2018,31645778490,15800,2752487000,6200942000,4233302000,1495432000,USD,816591000,0,28730000,20449779000,9461239000,28730000,6332674000,10988540000
772,Anglo American,United Kingdom of Great Britain and Northern Ireland,,public," Benchmark, CCGR1800, Environmental, Euro, FTSE 100, FTSE 350, FTSE 600, FTSE 725, FTSE All-World, Global 500, Mining & Metals, South Africa",Other non-metallic minerals,Other mineral mining,Materials,Metals & mining, AAL LN, Investor,AAL.L,2018,22651487999,,7782000000,27610000000,14166000000,3549000000,USD,6567000000,10000000,2320000000,52196000000,22364000000,2330000000,8971000000,29832000000
777,Anglo American Platinum,South Africa,,public," Benchmark, CCGR1800, Emerging Markets, Environmental, Mining & Metals, South Africa",Precious metals & minerals mining,Metallic mineral mining,Materials,Metals & mining, AMS SJ, Investor,AMS.JO,2018,141725232016,,10393000000,74582000000,11296000000,6817000000,ZAR,9175000000,265000000,5066000000,89288000000,41946000000,5331000000,6284000000,47342000000
779,AngloGold Ashanti,South Africa,,public," Benchmark, CCGR1800, Emerging Markets, Environmental, Mining & Metals, South Africa",Precious metals & minerals mining,Metallic mineral mining,Materials,Metals & mining, ANG SJ, Investor,ANG.JO,2018,75874640517,,1248000000,3943000000,772000000,133000000,USD,329000000,6000000,1669000000,6643000000,3949000000,1675000000,2050000000,2694000000
802,APA Group,Australia,,public," Australia, Benchmark",Oil & gas pipelines & storage,Oil & gas storage & transportation,Fossil Fuels,Oil & gas, APA AU, Investor,APA.AX,2018,10029099000,,1524325000,2386722000,2172383000,264839000,AUD,100643000,285000,862246000,15227226000,11100399000,862531000,9650596000,4126827000
806,Ansell,Australia,,public, Australia,Rubber products,Wood & rubber products,Manufacturing,General, ANN AU," Investor, Supply Chain",ANN.AX,2018,2914963961,,307676480,1922719921,742863194,180037205,AUD,788793395,13263855,12181092,3414089463,1315963998,25444948,747106990,2098125465
807,Hitachi Rail STS,Italy,,public, Italy,Transportation infrastructure & other construction,Construction,Infrastructure,General, STS IM, Investor,STS.MI,2018,,,,,,,AUD,,,,,,,,
814,ATRESMEDIA CORPORACION,Spain,,public, Spain,Marketing,Web & marketing services,Services,General, A3M SM, Investor,A3M.MC,2018,980742411,,179534000,984504000,498410000,88182000,EUR,85626000,21034000,3880000,1358619000,938089000,24914000,324583000,420530000
820,Antofagasta,United Kingdom of Great Britain and Northern Ireland,,public," Benchmark, CCGR1800, Environmental, Euro, FTSE 100, FTSE 350, FTSE 600, FTSE 725, Mining & Metals",Other non-ferrous ore mining,Metallic mineral mining,Materials,Metals & mining, ANTO LN, Investor,ANTO.L,2018,7721229635,,2092800000,4733100000,1925400000,543700000,USD,1034400000,863200000,1060800000,14102500000,4664400000,1924000000,2493900000,9438099999
